county,pop1841,pop1851,pop1861,pop1871,pop1881,pop1891,pop1901,pop1911,pop1926,pop1936,pop1951,pop1961,pop1971,pop1981,pop1991,pop2001
Antrim,361428,360498,372008,398624,413178,416143,543329,578704,608258,635692,661693,677512,663051,579750,591404,617462
Armagh,227190,189091,184138,171142,154515,135444,123018,117783,105693,102646,108739,111701,125461,127607,136469,144178
Carlow,81658,65222,54610,49012,44103,38734,35881,34498,33018,33127,32993,32248,33202,38646,39774,44829
Cavan,243094,173989,153870,140735,129476,111917,97451,91173,82452,76670,66377,56594,49345,53855,52796,56546
Clare,285456,211865,165884,147779,141379,124425,110658,102604,93685,88642,80264,72753,74104,86547,89864,102109
Cork,851528,647088,542486,515804,494312,437216,405517,392951,364906,355253,340784,330018,352534,402162,410073,447483
Derry,222043,191765,184140,173906,164991,152009,144404,140625,141994,143693,156030,165381,250655,252499,297599,334245
Donegal,296448,255160,237390,218499,206166,185750,173772,168447,152508,142310,131530,113842,108344,125112,128117,137575
Down,366202,327617,306236,275922,246697,222973,209891,208566,207736,208578,234610,260769,381594,403308,432022,475998
Dublin,370745,402858,407068,405262,418910,419216,454990,492103,494484,586173,693679,718332,852219,1003164,1030638,1122821
Fermanagh,156876,116064,105872,91573,83876,73307,68633,65157,58258,54818,53511,51976,50955,49711,53325,56944
Galway,440210,322344,271505,249720,242005,214712,195980,185568,172160,170702,162437,151671,150805,173654,181987,210721
Kerry,293880,238239,201798,196586,201039,179436,163818,157824,149171,139834,126644,116458,112772,122770,121894,132527
Kildare,114228,95519,90792,83614,75804,70206,63566,66627,58028,57892,66437,64420,72188,104122,122656,163944
Kilkenny,200739,157334,126421,108431,98702,86488,78370,74267,69913,67522,64150,58042,59905,66296,71072,76990
Laois,152211,110288,89504,79771,73124,64833,57417,54629,51540,50109,48455,45069,45239,51171,52314,58774
Leitrim,155297,111915,104744,95562,90372,78618,69343,63582,55907,50908,41209,33470,28360,27609,25301,25799
Limerick,329730,262025,217079,191936,180632,158912,146158,143069,140343,141153,141239,133339,140459,161661,161956,175304
Longford,115607,82439,71778,64501,61009,52647,46672,43820,39847,37847,34553,30643,28250,31140,30390,31066
Louth,126529,105027,88416,81596,75739,68928,66737,64528,63454,64980,69309,67866,75659,88955,91157,102282
Mayo,389637,275559,255471,246030,246378,220031,202659,195520,173255,161183,141710,123199,108909,113577,108712,114906
Meath,187418,144995,111186,99366,90675,80151,67497,65091,62969,61405,66337,65122,71729,95419,105370,134005
Monaghan,198845,140812,125525,114225,102087,85611,74074,71006,64741,60923,55019,46859,46082,51064,51173,52491
Offaly,148125,113194,91005,75900,72852,65563,60187,56832,52592,51308,52544,51533,51801,58312,58494,63663
Roscommon,257900,180618,161123,140670,132490,109665,102434,95698,86567,80259,72864,66390,62062,65017,62757,64651
Sligo,180780,128491,124819,115493,111578,98013,87424,82326,74570,70940,63755,56341,53071,59188,59004,63174
Tipperary,441161,335964,252300,218705,201279,174675,161484,153934,141323,138126,133642,124133,123919,135689,133205,140581
Tyrone,314113,256708,239353,215766,197719,171401,150567,142665,134079,126815,133207,135001,138676,132950,150297,159581
Waterford,193415,161500,132578,122447,112251,97849,87931,84624,79095,78027,75232,71553,77310,88466,91487,101442
Westmeath,136237,104527,86303,74537,68041,61239,54502,52013,48645,46772,44675,42204,43562,47908,48204,58071
Wexford,198117,176548,141307,130476,121728,109746,101887,100058,93871,92205,87952,81393,83722,97220,100289,114718
Wicklow,130028,102607,90306,79645,71215,62909,60901,60535,58884,59852,63891,62415,59258,91959,99231,118376
